Data;Histórico;Crédito (R$);Débito (R$);Saldo (R$)
31/12/2025;COD. LANC. 0;0; ;10.542,12
02/01/2026;RENTAB.INVEST FACILCRED*;0,03; ;10.542,15
02/01/2026;TRANSFERENCIA PIX; ;150;10.392,15
05/01/2026;TRANSFERENCIA PIX;53; ;10.445,15
05/01/2026;RENTAB.INVEST FACILCRED*;0,58; ;10.445,73
05/01/2026;PAGTO ELETRON  COBRANCA; ;1.402,85;9.042,88
05/01/2026;TRANSFERENCIA PIX; ;40;9.002,88
05/01/2026;PIX QR CODE ESTATICO; ;248,06;8.754,82
05/01/2026;PIX QR CODE ESTATICO; ;124,9;8.629,92
05/01/2026;PIX QR CODE DINAMICO; ;435,48;8.194,44
05/01/2026;PIX QR CODE DINAMICO; ;249,78;7.944,66
06/01/2026;TRANSFERENCIA PIX;72,37; ;8.017,03
06/01/2026;RENTAB.INVEST FACILCRED*;0,04; ;8.017,07
06/01/2026;PIX QR CODE ESTATICO; ;220;7.797,07
09/01/2026;TRANSFERENCIA PIX;100; ;7.897,07
12/01/2026;TRANSFERENCIA PIX;625; ;8.522,07
12/01/2026;TRANSFERENCIA PIX;35; ;8.557,07
12/01/2026;RENTAB.INVEST FACILCRED*;0,22; ;8.557,29
12/01/2026;PAGTO ELETRON  COBRANCA; ;1.017,42;7.539,87
12/01/2026;TRANSFERENCIA PIX; ;150;7.389,87
12/01/2026;PIX QR CODE ESTATICO; ;29,9;7.359,97
13/01/2026;RENTAB.INVEST FACILCRED*;0,46; ;7.360,43
13/01/2026;RENTAB.INVEST FACILCRED*;0,02; ;7.360,45
13/01/2026;RENTAB.INVEST FACILCRED*;0,13; ;7.360,58
13/01/2026;RENTAB.INVEST FACILCRED*;0,52; ;7.361,10
13/01/2026;TRANSFERENCIA PIX; ;7.000,00;361,1
14/01/2026;RENTAB.INVEST FACILCRED*;0,04; ;361,14
14/01/2026;PIX QR CODE ESTATICO; ;18,05;343,09
14/01/2026;PIX QR CODE ESTATICO; ;220;123,09
15/01/2026;TRANSF SALDO C/SAL P/CC;4.917,08; ;5.040,17
15/01/2026;CONTA DE TELEFONE; ;38,36;5.001,81
16/01/2026;TRANSFERENCIA PIX;1.120,00; ;6.121,81
16/01/2026;TRANSFERENCIA PIX;4.000,00; ;10.121,81
16/01/2026;TRANSFERENCIA PIX;1.740,00; ;11.861,81
16/01/2026;TRANSFERENCIA PIX;5.399,48; ;17.261,29
16/01/2026;RENTAB.INVEST FACILCRED*;0,01; ;17.261,30
16/01/2026;RENTAB.INVEST FACILCRED*;0,01; ;17.261,31
16/01/2026;TRANSFERENCIA PIX; ;4.800,00;12.461,31
16/01/2026;TRANSFERENCIA PIX; ;1.120,00;11.341,31
16/01/2026;TRANSFERENCIA PIX; ;10.000,00;1.341,31
19/01/2026;RENTAB.INVEST FACILCRED*;0,01; ;1.341,32
19/01/2026;PAGTO ELETRONICO TRIBUTO; ;460,42;880,9
19/01/2026;TRANSFERENCIA PIX; ;36;844,9
19/01/2026;PIX QR CODE DINAMICO; ;814,81;30,09
20/01/2026;TRANSFERENCIA PIX;20.724,00; ;20.754,09
20/01/2026;TRANSFERENCIA PIX;210; ;20.964,09
20/01/2026;GASTOS CARTAO DE CREDITO; ;7.668,46;13.295,63
20/01/2026;GASTOS CARTAO DE CREDITO; ;13.285,99;9,64
21/01/2026;TRANSFERENCIA PIX;180; ;189,64
26/01/2026;TRANSFERENCIA PIX;19; ;208,64
26/01/2026;TRANSFERENCIA PIX;42; ;250,64
26/01/2026;TRANSFERENCIA PIX;30; ;280,64
26/01/2026;TRANSFERENCIA PIX;40; ;320,64
26/01/2026;PIX QR CODE ESTATICO; ;220;100,64
30/01/2026;TRANSF SALDO C/SAL P/CC;4.288,88; ;4.389,52
30/01/2026;TRANSFERENCIA PIX;260; ;4.649,52
30/01/2026;TRANSFERENCIA PIX;60; ;4.709,52
30/01/2026;RENTAB.INVEST FACILCRED*;0,01; ;4.709,53
30/01/2026;PAGTO ELETRONICO TRIBUTO; ;260,25;4.449,28
30/01/2026;TRANSFERENCIA PIX; ;4.300,00;149,28
30/01/2026;PIX QR CODE DINAMICO; ;138,51;10,77
;;;;
23/02/2026;COD. LANC. 0; ; ;293,66
24/02/2026;RENTAB.INVEST FACILCRED*;0,01; ;293,67
24/02/2026;TRANSFERENCIA PIX; ;290;3,67
;;;;
;;0,01;290;3,67
